tweet_id,text,language,type,bookmark_count,favorite_count,retweet_count,reply_count,view_count,created_at
'2049996842579165496',"‼️SHOCKING: Congress TARGETS Candace Owens With Bipartisan Resolution to CENSOR Her—Both Sponsors Lawler & Gottheimer EACH Pocketed Over $1 MILLION From AIPAC 👀

Candace just dropped a nuclear response to the U.S. House of Representatives after they introduced a bipartisan resolution (sponsored by Reps. Mike Lawler and Josh Gottheimer) specifically naming her for ""anti-Semitic hate speech.""

But Candace says this isn't just about her—it’s a coordinated attack on the First Amendment designed to usher in a new era of tyranny.

The Bombshell Breakdown:

The AIPAC Connection: Candace highlights the massive ""irony"" of the situation, calling out that both Mike Lawler and Josh Gottheimer have each taken over $1 million from AIPAC. She questions how they can claim to be objective while being funded by the very interest groups they are ""protecting"" through legislation.

Fact-Checking the ""Facts"": She dismantles the House's claims point-by-point, including accusations regarding her comments on Josef Mengele. She even plays clips from an official Holocaust memorial podcast to prove she was simply stating documented facts about historical myths.

The ""Tyranny"" Playbook: Candace warns that the administration is using ""sensitive groups"" as a shield to pass hate speech laws.

""They think you are too stupid to understand the difference between anti-Semitism and normal debate. They are using you to push through tyranny.""

Free Speech is Not Violence: She blasts the attempt to equate ""hateful rhetoric"" with physical violence to justify government crackdowns, calling it a PR stunt to protect ""the Epstein class"" and distract from the truth.

The Bottom Line: Candace is echoing the late Charlie Kirk’s own words: ""Hate speech does not exist legally in America."" She’s refusing to be intimidated by a House resolution, calling it a move to silence dissent and control the narrative.

Is Congress overstepping its bounds, or is this a necessary move? More importantly: If they can silence Candace, who is next? 

FOLLOW @RealCandaceO, RT and watch her FULL episode linked below. 👇",en,Tweet,9,144,45,12,7206,4/30/2026
'2049990344268214578',"‼️EXPOSED: Mikey McCoy Was The MOLE—Candace Just Dropped The Ultimate TPUSA BOMBSHELL! 💣👀

Candace Owens just flipped the script on Andrew Kolvet and Erica Kirk in a way no one saw coming. After being attacked from every angle on her birthday, Candace decided to ""sentence them to more truth""—and this one is a career-ender.

The ""Mole"" Revealed:Candace just confirmed that her suspicion of a Turning Point USA cover-up didn't come out of thin air. It came from INSIDE the house.
""Part of the reason why I suspected Turning Point USA... is because someone at Turning Point USA got a message out to me. It was Mikey McCoy.""

According to Candace, Mikey McCoy reached out via a third party with a specific warning: ""Look further into Andrew Kolvet."" The Fallout:

Betrayal in the Inner Circle: Mikey McCoy, a staple of the TPUSA team, allegedly flagged his own colleague to Candace.

The CEO Mystery: Candace is doubling down on the ""Man of Steel"" statement, demanding Erica release the video of Charlie naming her CEO. If it exists, why is everyone suddenly ""shy""?

The ""Conspiracy"" Charge: Candace clarifies she doesn't believe Erica killed Charlie, but she does believe the documented lies rise to the level of a criminal conspiracy.

Candace isn't just asking questions anymore; she's revealing the sources that started the fire. Andrew Kolvet, the ball is in your court. How do you explain your own team pointing the finger at you? ☕️🍿

Is Mikey McCoy the key to the entire investigation? Let us know your theories in the comments! 

FOLLOW @RealCandaceO, RT and watch her full EPISODE linked below.👇",en,Tweet,107,898,153,76,75329,4/30/2026
'2049988860633878827',"‼️BOMBSHELL: Candace Owens FULL RESPONSE To Brian Harpole's Frivolous Lawsuit —She DISMANTLED It Count By Count. 😱
 
Candace just dropped a massive deep-dive into the 69-page lawsuit filed by Brian Harpole, and she isn’t just defending herself—she’s going on the offensive. If you thought this was going to quiet her down, think again.

The Breakdown:

andace reveals Harpole is using the same legal team The Daily Wire used against her. Coincidence? She doesn't think so.

She calls out the ""dishonest"" presentation of text messages used to explain why rooftops weren't secured, proving they weren't even Harpole’s messages.

Candace shows the receipts—she reached out to Harpole four times to confirm his whereabouts before interviewing Mitch Snow. He chose silence; now he’s choosing a lawsuit.

This is the kicker. Candace realizes this lawsuit grants her the legal authority to subpoena unseen footage and private text messages from the entire Turning Point USA circle.

The Quote of the Night:

""Is the power of subpoena actually going to be our only way to get to the truth of what happened to Charlie Kirk? If that’s the path, let’s get started.""

Candace is framing this not as a legal threat, but as a golden ticket to discovery. She’s ready to sit everyone down for depositions—from security to leadership.

Is this the move that finally breaks the Charlie Kirk case wide open, or is it just a PR stunt that will backfire in discovery? 

FOLLOW FULL, RT and watch her full EPISODE linked below. 👇",en,Tweet,14,117,34,5,32088,4/30/2026
'2049983568760234355',"‼️BREAKING: Harpole’s 69-Page Suit Just Triggered Discovery Armageddon for TPUSA! 👀

Brian Harpole just filed a massive 69-page defamation lawsuit against Candace Owens and Mitch Snow in the Middle District of Tennessee—and it is the biggest mistake they could have ever made. 📉🔥

They think they’re playing offense, but they just opened the door to FULL DISCOVERY. 🔓📂

Why this is a MASSIVE win for the truth:

Total Transparency: Since Harpole is claiming his reputation was ruined over the investigation into Charlie Kirk’s assassination, his entire professional life is now subject to discovery.

The Receipts: We are talking about access to ALL of Harpole’s communications with Erika Kirk and Turning Point USA. No more secrets, no more ""private"" messages—it’s all coming to light. 📧📱

What Really Happened? We are finally going to get to the bottom of the security failures, the timelines, and the communications from that day at UVU. By suing, Harpole has legally obligated himself to turn over the evidence we’ve been asking for months.

The Counts:

Defamation Per Se: Claiming the Fort Huachuca story was ""actual malice.""

Conspiracy to Defame: Alleging a ""deliberate agreement"" between Candace and Mitch Snow.

Vicarious Liability: Trying to go after Candace’s entire media apparatus.

The Bottom Line: This wasn't a power move—it was the nail in the coffin for Turning Point. They just gave us the legal authority to dig through their internal files. They wanted to silence the investigation, but they just fast-tracked it. 🏛️💣

""You want to talk about 'malice'? Let’s talk about the truth that’s about to come out in those depositions."" 🗣️💯

Get ready, guys. The discovery phase is about to be the biggest win Project Constitution has ever seen. Go Max! 🚀🙌

👇 Do you think Harpole realized he just gave us access to all his records, or did TPUSA’s legal team just hand us the win? Sound off!",en,Tweet,15,184,58,8,4916,4/30/2026
'2049976453387755682',"Once I’m done posting my Candace clips today, I’m gonna do a live stream going over the whole Harpole V Owens Lawsuit to stay tuned",en,Tweet,0,36,5,6,1146,4/30/2026
'2049973066600435735',"‼️BREAKING: Candace Owens Just RESPONDED To Brian Harpole's LAWSUIT —He Just Handed Her Full DISCOVERY Power! 👀

Candace isn’t just responding to the Brian Harpole lawsuit—she’s celebrating it. After waking up ""highly upset"" over Erica Kirk’s claims, Candace revealed that Harpole’s legal move might be the biggest mistake he’s ever made.

The Power Move:  ""That would grant me, your girl, the power of subpoena. Let’s get started.""

She’s promising that the ""punishment is more truth"" and hinting that something massive is coming undone behind the scenes. With a secret ready to be revealed and the legal power to dig deep, the ""crazy"" is officially hitting a breaking point. ☕️🍿

Is this a tactical error for Harpole, or is Candace playing with fire? Drop your theories in the comments.

FOLLOW @RealCandaceO, RT and watch her full EPISODE linked below.👇",en,Tweet,113,1311,169,57,128515,4/30/2026
'2049969324836712830',"@jay_fantom she did'nt confirm it, it's just her title. she is addressin git. we will see though. :-)",en,Reply,0,0,0,0,88,4/30/2026
'2049968655182496101',"BTW. This lawyer isn't even licensed to practice in TN.
als oit's not called a cease and desist in TN but it's called a pre-suit demand letter, which is the dame thing.",en,Reply,1,8,1,3,902,4/30/2026
'2049965307804975531',This Will Be Fun.,en,Tweet,5,60,9,4,216037,4/30/2026
'2049887063307399381',"Erika Kirk Just Got The 8-Mile Treatment. 💀🔥

Someone finally did it. Since Erika’s 9-minute ""monologue"" felt more like a rehearsed audition than a CEO update, the internet decided to give her the soundtrack she deserves. Enter: Eminem’s ""Lose Yourself"" (Erika’s Version).

""She opens her mouth, only lies come out."" From the ""Hype Squad"" laugh track to the scripted tears, the AI isn't missing a single beat.

Is this AI satire more honest than the actual speech? Watch the clip and tell me I’m wrong. 👇

From: @OwenBenjamin  FOLLOW Him!

CC: @RealCandaceO 😂",en,Tweet,214,1071,181,52,90454,4/30/2026
'2049536282162876507',"‼️EXPOSED: Erika Kirk Claims Candace Owens ACCUSED Her of Murder—The RECEIPTS Say She’s LYING 🚫👀

I just watched Erika Kirk’s latest ""woe is me"" performance, and we need to separate the facts from the feelings. 

Erika claims she wakes up to ""headlines lying"" about her. Let’s be clear: You aren’t waking up to lies, Erika—you’re waking up to the truth being exposed, and you just don't like how it looks in the light of day.

Let’s Check the Receipts:
""Comedians in White Face"": She’s whining about the satire, but let’s be honest—Drewski is a legend for that. It was hilarious, it was effective, and it hit exactly where it needed to. If you can't handle the parody, maybe don't run a political machine. 

""Not Fit to be CEO"": Erika, this isn't an ""insult,"" it’s an objective fact. Turning Point is a multi-hundred-million-dollar organization. You are a stay-at-home mom with zero executive experience. Suggesting you aren't qualified to run a massive national non-profit isn't ""hate""—it's a performance review. 📉

THE BIGGEST LIE: This is the one that proves she’s lost the plot. She actually claimed on air that Candace Owens is saying Erika murdered her husband.

I am calling her out RIGHT NOW. Show me the clip. Show me the timestamp. Show me one single instance where Candace Owens said, or even implied, that Erika murdered Charlie. You can’t, because it never happened. 🛑

This is a bald-faced, desperate lie designed to smear Candace and deflect from the real questions being asked about the leadership (or lack thereof) at TPUSA.

Erika Kirk is using emotional blackmail to shield herself from accountability. She’s not a victim; she’s a CEO who can’t handle the job or the truth. 

Project Constitution doesn't care about your feelings, we care about the facts. Stop lying, Erika. 👇

CC: @RealCandaceO",en,Tweet,34,679,127,69,55399,4/29/2026
'2049024537384059063',"😱You Won’t Believe What Jesse Caught In The Background Of The WHCD Video Of Erika Kirk Ugly Fake Crying 👀

Everyone saw Erika Kiek ""fake crying"" at the White House Correspondents' Dinner, but we ALL missed the most savage moment of the night... until now. 

While Erika is caught on camera saying ""I just wanna go home,"" there is a hero in the background who absolutely ROASTS her. I had to listen to this three times to catch it, but once you hear it, you can’t unhear it! 🤣

""WHY SO SAD?"" 💥🧨

Watch the clip, listen closely, and wait for the background audio. It is pure gold. This guy is officially a legend!

Be sure to FOLLOW my bro @realjesseonfire 

 Did you hear it on the first try? 👇",en,Tweet,165,830,170,45,97018,4/28/2026
'2049881425466306669',@KaeA727730 she's NOT a grieving widow. sorry try again.,en,Reply,0,0,0,1,28,4/30/2026
'2049879837888696480',You Really Nailed Her Black Widow Assassin Look. 😂,en,Tweet,1,5,1,2,1663,4/30/2026
'2049877214447952123',@D24799035 that's exactly what's happening.,en,Reply,0,2,0,0,25,4/30/2026
'2049862145915916600',"😱SHOCKING: TPUSA’s “HYPE SQUAD” Scandal —Partitioning Venues, Staged Questions & Paying Kids To REACT 👀

Turning Point is officially dead, and the receipts are coming in fast. They’ve moved from organic movements to ""Hype Squads""—paid recruits who are essentially the ""laugh track"" at their events

They are now recruiting and paying people to join the ""official hype squad,"" loading them up with free swag and jerseys just to show up. 

If you’ve ever been to a live studio taping of a sitcom or a late-night show, you know they have people who prompt the crowd to laugh, clap, or cheer at specific moments. This is exactly what Turning Point is paying for.

🔘Designated Reactions: These paid recruits are strategically placed to clap, yell, and laugh at designated points to make it look like the speakers have public backing.

🔘Staged Questions: It’s not just the applause that’s fake. If you go back through the footage of their last few events (like in Georgia), the people ""randomly"" asking questions are actually their own paid Hype Squad members. The ""public engagement"" is a scripted performance. 

🔘Loading Up on Swag: They are recruiting people, loading them up with jerseys, hats, and pins, and paying them to attend just to make it look like they can draw a crowd. 

🔘The Partition Trick: They are literally partitioning off sections of venues to make the rooms look smaller so they can claim a ""packed stadium."" If you have to hide the empty seats to hide the failure, you’ve already lost. 

🔘The Attendance Lie: In Idaho, they claimed a ""massive crowd"" of 400 people. You’re at a university with 10,000 students and you can't even get 400 of them to show up organically? That is a disaster. 🏟️🚫

Charlie Kirk never had to pay people to show up. He had real support. Now, Erika Kirk is delivering nothing but a ""Big Fat L."" 

The only thing they are saving is appearances, while the movement crumbles behind the scenes. 

Don’t fall for the psyop. The crowds are fake, the questions are staged, and the ""hype"" is bought and paid for.

From: @Ryanmatta FOLLOW Him!",en,Tweet,38,370,96,15,14471,4/30/2026
'2049877044519899590',@Christina384966 wake up and look at the facts. stop being a sheeple.,en,Reply,0,1,0,1,122,4/30/2026
'2049876914878157077',@AdventureNLearn it's not. both are equally embarrassing.,en,Reply,0,2,0,0,105,4/30/2026
'2049876823631073463',@MissKatyAllison that's exactly what they are.,en,Reply,0,2,0,0,126,4/30/2026
'2049876763350573444',@MissKatyAllison not sure. they are definitely at least being paid with Merch and free tickets.  I am reaching out to some of these folks now to get more information,en,Reply,0,3,0,0,154,4/30/2026
'2049867214115721240',"‼️Are you a part of Turning Point USA's ""HYPE SQUAD"" If So I want to INTERVIEW You. 👀

Also If you have any TIPS related to this new ""HYPE SQUAD"" or about TPUSA event's I want to talk to you. 

Send me a DM or email me at projectconstitutionvideos@gmail.com",en,Tweet,1,10,2,2,1239,4/30/2026
'2049651608582037669',"Is Kash Patel’s HONEYPOT girlfriend—the one who just got caught cheating on Kash, hiding in a room holding hands with another man at the White House Correspondents’ Dinner—Are you really trying to call out @RealCandaceO? 
The audacity is unreal. 🤡🍯

@AlexisWilkins",en,Tweet,10,437,53,22,31037,4/29/2026
'2049863622562598943',@D24799035 @RealCandaceO @AlexisWilkins i will post it today,en,Reply,0,5,0,1,231,4/30/2026
'2049862145915916600',"😱SHOCKING: TPUSA’s “HYPE SQUAD” Scandal —Partitioning Venues, Staged Questions & Paying Kids To REACT 👀

Turning Point is officially dead, and the receipts are coming in fast. They’ve moved from organic movements to ""Hype Squads""—paid recruits who are essentially the ""laugh track"" at their events

They are now recruiting and paying people to join the ""official hype squad,"" loading them up with free swag and jerseys just to show up. 

If you’ve ever been to a live studio taping of a sitcom or a late-night show, you know they have people who prompt the crowd to laugh, clap, or cheer at specific moments. This is exactly what Turning Point is paying for.

🔘Designated Reactions: These paid recruits are strategically placed to clap, yell, and laugh at designated points to make it look like the speakers have public backing.

🔘Staged Questions: It’s not just the applause that’s fake. If you go back through the footage of their last few events (like in Georgia), the people ""randomly"" asking questions are actually their own paid Hype Squad members. The ""public engagement"" is a scripted performance. 

🔘Loading Up on Swag: They are recruiting people, loading them up with jerseys, hats, and pins, and paying them to attend just to make it look like they can draw a crowd. 

🔘The Partition Trick: They are literally partitioning off sections of venues to make the rooms look smaller so they can claim a ""packed stadium."" If you have to hide the empty seats to hide the failure, you’ve already lost. 

🔘The Attendance Lie: In Idaho, they claimed a ""massive crowd"" of 400 people. You’re at a university with 10,000 students and you can't even get 400 of them to show up organically? That is a disaster. 🏟️🚫

Charlie Kirk never had to pay people to show up. He had real support. Now, Erika Kirk is delivering nothing but a ""Big Fat L."" 

The only thing they are saving is appearances, while the movement crumbles behind the scenes. 

Don’t fall for the psyop. The crowds are fake, the questions are staged, and the ""hype"" is bought and paid for.

From: @Ryanmatta FOLLOW Him!",en,Tweet,38,370,96,15,14471,4/30/2026
'2049664313984475242',@Pleribusbofb @MrsErikaKirk idk but clearly not a grieving widow...,en,Reply,0,5,0,0,136,4/29/2026
'2049664225333641274',@GrandmaMandy92 @MrsErikaKirk exactly,en,Reply,0,1,0,0,43,4/29/2026
'2049664167406174306',@PurpleNinjaRain @MrsErikaKirk oh coure. they are trying to0 force her down our throats because they want to run her on the ticket in 2028,en,Reply,0,3,0,2,138,4/29/2026
'2049663873851044308',@WakeTheWool @MrsErikaKirk Black widow,en,Reply,0,5,0,0,133,4/29/2026
'2049655711714455735',@4freedom1USA @AlexisWilkins precisely and proud of it.,en,Reply,0,3,0,0,75,4/29/2026
'2049655447242625504',@moolah_magnet @RealCandaceO @AlexisWilkins Funny how that works huh,en,Reply,0,13,0,0,1054,4/29/2026
'2049655145378500883',@tardyhard @RealCandaceO @AlexisWilkins i can't image why... 🤔🤣,en,Reply,0,18,0,0,980,4/29/2026
'2049649165240516880',"Side Note: Since you claim you went to the White House Correspondents  Dinner To Face Your Detractors, Why don't you face me directly? 

Don't you want me to try to humanize you? 

I would love sit down with you and talk either virtual or in person and have a back and forth. I promise I will be polite and respectful. I just want to ask some questions about my reporting and get some clarification. 

If you really want the reporting to stop then yoiu would say YES. 

@MrsErikaKirk",en,Reply,3,450,20,35,10218,4/29/2026
'2049644742007246996',If You Want To Know What REAL Evil Looks Like—Look No Further Than Erika Kirk 👀,en,Tweet,7,122,31,20,4766,4/29/2026
'2049647491042128054',@SammyTherese yeah tell me about it. it's like she's possessed or a robot.,en,Reply,0,3,0,1,97,4/29/2026
'2049640944325038507',"‼️REVEALED: The Truth Behind CANDACE OWENS ""Fleeing the Country""—Was She On A Secret Anti-Trump Trip FUNDED By Qatar? 👀

While the internet’s resident psychopath Larry Loomer (who btw is ""clinicly insane"") was busy cooking up fan fiction about secret summits and fleeing the country, Candace was in Rome for the most important milestone of her life.  

The Myths vs. The Reality:  
Larry Loomer claimed Candace was in Italy for a ""Qatar-funded summit"" with Nick Fuentes and David Axelrod.   

The Reality: Total fiction. Candace was there with her husband and children for her Confirmation into the Catholic Church.    

Looney Loomer then claimed that Candace was hiding $12 million in ""secret trusts"" and running from lawsuits.   

The Reality: You don’t need a plane to move money in 2026, but you do need to be in person to be confirmed by a Cardinal in the Old Latin Rite.   

Larry Loomer claimed she was living separately from her husband. 

The Reality: They were together in Rome, stronger than ever, celebrating a beautiful sacrament.  

Candace shared how nerve-wracked she was to take her Confirmation seriously, spacing it out from her baptism to truly understand the faith. She was confirmed by a Cardinal, with her priest flying in from London to guide her.   

""I told my priest I would chill. That’s why I didn’t respond to Trump’s attacks while I was away. I was focusing on what actually matters.""  God gives His toughest battles to His strongest soldiers. Whether it’s ""butt-ugly"" photos or ""manic"" lies from influencers, Candace is more prepared than ever for the fights to come.   

Welcome Candace back and congratulate her on her Confirmation! Are you glad she’s finally clearing the air on these crazy rumors?  

FOLLOW @RealCandaceO, RT and watch her FUL episode linked below. 👇",en,Tweet,3,58,9,6,7579,4/29/2026
'2049637698827104437',"‼️EXPOSED: Candace Owens Just TORCHED Erika Kirk’s Biggest Lie Yet— Challenges Erika To Face Her Detractors HEAD ON! 👀

Erika Kirk just released a 9-minute, teleprompter-heavy monologue, and it’s officially giving ""Hillary Clinton Campaign"" energy. Candace isn’t just pulling the receipts; she’s incinerating the entire narrative.

Erika actually looked into a camera and claimed Candace Owens accused her of murdering Charlie Kirk. One problem: It never happened. 

🛑 Candace has called her a liar, a fraud, and an astroturfed CEO—all of which she’s proven—but she never made that claim.

The Desperate PR Clean-up:When the internet immediately clocked the lie, Erika’s team (Blake Neff and Andrew Kolvet) scrambled for excuses:

They claim Candace ""implied"" it by saying police should have questioned her. (Uh, yeah... that’s what happens in investigations when the stories don't line up! 

Andrew Kolvet leaked a private text from December—a clear joke between friends making fun of the media—to justify a public lie told today. Candace’s response? ""RELEASE THE WHOLE CHAIN."" She has nothing to hide. 

As Baron Coleman rightly said, being a widow isn't a ""free pass to lie and gaslight everyone you meet."" Candace is asking the questions that actually matter:

Why won't you release the video of Charlie allegedly appointing you CEO? Donors are calling it fake. 

The Surgeon Lie: Why did you lie to Candace’s face about the surgeon going ""rogue""? 

You were too ""traumatized"" for UGA, but you’re rubbing elbows with the FBI director at a DC gala for a ""social experiment""? Make it make sense. 

""You aren't smarter than the public, Erika. Stop with the scripted performances and start answering the questions meaningfully."" 

The public is tired of being gaslit. Is Erika digging her own grave with these lies? Sound off.

FOLLOW @RealCandaceO, RT and watch her FULL episode linked below.👇",en,Tweet,25,144,46,7,5592,4/29/2026
'2049626247009833255',"‼️HYPOCRISY EXPOSED: Erika LECTURES Journalists For Filming During Active SHOOTER Incident—But Her Own TEAM Did It After Charlie’s Assassination 👀

Candace just dropped a truth bomb that has the internet spinning. Erika Kirk spent her latest monologue lecturing journalists for ""filming themselves"" during the White House Correspondents' Dinner shooting—claiming they broke the ""number one rule of journalism"" by becoming the story.

But Candace remembers what they want you to forget. 

Erika says it’s ""desensitized"" and ""ironic"" for journalists to record clips for social media during an active shooter incident. She claims ""fight or flight"" should have taken over. 🤨

Candace played the footage of Terrell Farnsworth—Erika’s own team member—who did the EXACT same thing. Seconds after the tragic assassination of Charlie Kirk at UVU, while the situation was still ""active"" and chaotic, Terrell was recording himself for the world to see. 🎥⚠️

So why is it ""thug life"" and ""vile"" when a CNN reporter does it, but totally acceptable when your own staffer does it while your husband is on the ground? 🎤💥

""I’m just pointing out the irony. You can’t call out journalists for the very same actions your team took—and continues to take. It’s not just weird; it’s a total double standard."" 🗣️💯

Candace is refusing to let the ""Widow-Grift"" rewrite history. If we’re calling out desensitization, let’s start with the people who were hitting ""record"" before the smoke even cleared at UVU.

F)OLLOW @RealCandaceO, RT and watch her FULL episode linked below.👇",en,Tweet,8,140,28,6,6178,4/29/2026
'2049622826907324897',"‼️SHOCKING: Candace Reacts to Erika Kirk’s Bizarre Explanation Of Why She Attended The White House Correspondents Dinner In Washington DC 👀

Erika Kirk is back with a 9-minute pre-recorded video to explain her ""traumatization"" at the White House Correspondents' Dinner, and Candace is calling out the total lack of logic. 🧐🕯️

The Highlights from Tonight’s Monologue:

The ""UGA"" Contradiction: Erika canceled her UGA appearance because she ""didn't trust the Secret Service"" to keep her safe. So why did she head straight to a DC gala crawling with Secret Service and press elites? 🤨

Erika claims she went as a ""social experiment"" to confront journalists who ""dehumanize"" her. Candace isn't buying it. Since when does a grieving widow, who supposedly ""doesn't read the headlines,"" suddenly know every journalist's name and feel the need to confront them in a ballgown? 👗✨

Candace clocks the ""objectively weird"" delivery—pre-recorded, nine minutes of teleprompter reading, followed by two hours of Charlie Kirk clips. It doesn't sound like Erika; it sounds like a PR machine. 🤖🗞️

Candace draws the line. From the Hillary Clinton ""sexism"" shield to the BLM ""race"" shield, we are now seeing the ""Widow-Grift."" They use Erika to shut down reasonable questions, then lecture the public for not ""keeping her safe"" at an event she chose to attend. 🛑

""She went there, got dolled up, and hit the pre-parties for a 'social experiment'? We’re not allowed to remember what she said yesterday, but the math isn't mathing."" 🗣️💯

Is this a genuine recovery or a carefully managed campaign? Candace is asking the questions DC is too afraid to touch.

👇 Drop your thoughts below. Is the ""Social Experiment"" excuse believable, or is Candace right to be skeptical?

FOLLOW @RealCandaceO, RT and watch her FULL episode linked below. 👇",en,Tweet,403,1267,89,52,40457,4/29/2026
'2049619545019630056',"🚨BREAKING: Candace Drops $10,000 CASH Bounty — Who Was BEHIND the Camera During Erika’s VIRAL Fake Cry? 👀

Candace is back and she’s exposing what she calls ""Operation Erika Kirk 2.0."" While the mainstream media tries to sell a ""survivor story"" from the White House Correspondents’ Dinner, Candace is pulling back the curtain on what really happened—and she’s putting her money where her mouth is. 💰🔥

The Breakdown:
The media called it a ""shooting,"" but reports now show it was a suspect charging a checkpoint and Secret Service firing at each other. No shots from the suspect. Yet, the media elites are acting like they survived a war zone. 🙄

Candace is questioning the ""perfect timing"" of the viral video showing Erika Kirk crying and saying she ""just wants to go home."" How did a CNN reporter capture that exact moment in a ""chaotic"" lockdown? 🧐

Candace is offering $10,000 CASH to anyone who has footage of the person filming Erika. She wants to see the other side of that camera. Was it organic, or was it a produced ""widow-grift"" moment? 🕵️‍♀️

The ""Widow-Grift"" Exposed: Candace isn't falling for the lecture. She’s calling out the establishment for trying to turn a socialite’s voluntary attendance at a DC gala into a reason to scold the public. No one forced her to be there. No one is responsible for her safety but her. 🛑

""We’re tired of the disingenuous games. You’re not too big to fail, and we see exactly what you’re doing."" 🗣️💯

Got the footage? Send tips DM me or email projectconstitutionvideos@gmail.com or MoreTips@CandaceOwens.com and get your 10K. 💸

👇 Is this another scripted DC operation, or is Candace being too harsh? Let’s hear it in the comments.

FOLLOW @RealCandaceO, RT and watch her FULL episode linked below.",en,Tweet,20,226,63,17,15675,4/29/2026
